material,Vset,Vreset,dt,endurance,latency,energy
HfO2,3.25245837696872,-3.735919896777202,5.0175443494660865e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,1.316520437457393,-1.0276094571766903,5.015460012597735e-08,9494787455.80712,1.0122100206899631e-06,6.163505643363987e-11
TiO2,3.8435022390077798,-3.87325408217351,5.0196994594734404e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.6740057053167714,-3.4171650700449847,5.018080023918185e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.2702565824023333,-3.2927293583573762,5.015361640990902e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.175954398621524,-1.2306324298548459,5.020241008342869e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
Al2O3,3.359276185266028,-3.6025202745394633,5.017077652101605e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.7576696383363304,-3.758575718095981,5.0196499099107836e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.716756358248328,-3.7739282436224584,5.017000955075252e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.721773161143524,-3.95195672543203,5.0177615541677385e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.5667664045048433,-3.5762384305964656,5.0157353319039546e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.1784978788155056,-3.763593108679234,5.0184254163337906e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
TiO2,3.701745200761251,-3.813140634703321,5.0173688643381275e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,1.212505215933086,-3.3449218657033013,5.016375575304318e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
TiO2,3.7547276950790645,-3.8254401667046136,5.017512130632714e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,0.8322759248691638,-3.853997773546837,5.0194784955921763e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,3.57338355966169,-3.6459479267060457,5.018095780546994e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.9003388227192772,-3.9475047012844846,5.016023672622758e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.5349626785174966,-3.3703081395457257,5.020365143001256e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.096020337753074,-3.901265871339215,5.019112723293263e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,3.201891417511243,-3.5031675670887674,5.016748291354699e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.9051073328384636,-3.892469168875443,5.019585836758258e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7919692992666647,-3.9377188414539575,5.0171081427724575e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.6742356611155813,-3.706960393315259,5.0153624361773065e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.672092545420357,-3.733915196024598,5.014916283627053e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.3030042450948225,-3.743864837152125,5.019179194205093e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,1.4211872297961803,-3.5653229278285714,5.018301354115479e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
TiO2,1.3728213552744453,-1.3020229086127357,5.017070732833708e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
Al2O3,3.664656984257988,-3.497618121175799,5.0182645580295174e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.6150092529383724,-1.5128897882629446,5.0164863605263624e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
TiO2,3.66888183081692,-3.677819450789112,5.0199771246776044e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.3847880082425137,-1.447135810960996,5.01872289115109e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
